KT;GdeNr;GdeName;Gesamtzahl aller Wohnungen;Anzahl Erstwohnungen;Anzahl Erstwohnungen gleichgestellte Wohnungen;Erstwohnungsanteil;Zweitwohnungsanteil;Verfahren;Date;;;;
ZH;1;Aeugst am Albis;878;806;0;91.79954442;8.200455581;1;2017-01-01;#SPILL!;;;
ZH;2;Affoltern am Albis;5592;4947;0;88.46566524;11.53433476;1;2017-01-01;#SPILL!;;;
ZH;3;Bonstetten;2422;2261;0;93.35260116;6.647398844;1;2017-01-01;#SPILL!;;;
ZH;4;Hausen am Albis;1627;1461;0;89.79717271;10.20282729;1;2017-01-01;#SPILL!;;;
ZH;5;Hedingen;1587;1479;0;93.19470699;6.805293006;1;2017-01-01;#SPILL!;;;
ZH;6;Kappel am Albis;471;418;0;88.74734607;11.25265393;1;2017-01-01;#SPILL!;;;
ZH;7;Knonau;990;859;0;86.76767677;13.23232323;1;2017-01-01;#SPILL!;;;
ZH;8;Maschwanden;297;256;0;86.1952862;13.8047138;1;2017-01-01;#SPILL!;;;
ZH;9;Mettmenstetten;2128;1927;0;90.55451128;9.445488722;1;2017-01-01;#SPILL!;;;
ZH;10;Obfelden;2264;2087;0;92.1819788;7.818021201;1;2017-01-01;#SPILL!;;;
ZH;11;Ottenbach;1176;1098;0;93.36734694;6.632653061;1;2017-01-01;#SPILL!;;;
ZH;12;Rifferswil;479;421;0;87.8914405;12.1085595;1;2017-01-01;#SPILL!;;;
ZH;13;Stallikon;1662;1501;0;90.31287605;9.687123947;1;2017-01-01;;;;
ZH;14;Wettswil am Albis;2219;2116;0;95.35826949;4.641730509;1;2017-01-01;;;;
ZH;21;Adlikon;275;262;0;95.27272727;4.727272727;1;2017-01-01;;;;
ZH;22;Benken (ZH);395;369;0;93.41772152;6.582278481;1;2017-01-01;;;;
ZH;23;Berg am Irchel;275;252;0;91.63636364;8.363636364;1;2017-01-01;;;;
ZH;24;Buch am Irchel;402;366;0;91.04477612;8.955223881;1;2017-01-01;;;;
ZH;25;Dachsen;820;779;0;95;5;1;2017-01-01;;;;
ZH;26;Dorf;269;239;0;88.84758364;11.15241636;1;2017-01-01;;;;
ZH;27;Feuerthalen;1732;1577;0;91.05080831;8.949191686;1;2017-01-01;;;;
ZH;28;Flaach;598;555;0;92.80936455;7.190635452;1;2017-01-01;;;;
ZH;29;Flurlingen;658;612;0;93.00911854;6.990881459;1;2017-01-01;;;;
ZH;30;Andelfingen;989;915;0;92.51769464;7.482305359;1;2017-01-01;;;;
ZH;31;Henggart;952;912;0;95.79831933;4.201680672;1;2017-01-01;;;;
ZH;32;Humlikon;193;177;0;91.70984456;8.29015544;1;2017-01-01;;;;
ZH;33;Kleinandelfingen;981;861;0;87.7675841;12.2324159;1;2017-01-01;;;;
ZH;34;Laufen-Uhwiesen;753;694;0;92.16467463;7.835325365;1;2017-01-01;;;;
ZH;35;Marthalen;907;821;0;90.51819184;9.481808159;1;2017-01-01;;;;
ZH;36;Oberstammheim;552;501;0;90.76086957;9.239130435;1;2017-01-01;;;;
ZH;37;Ossingen;669;601;0;89.83557549;10.16442451;1;2017-01-01;;;;
ZH;38;Rheinau;669;594;0;88.78923767;11.21076233;1;2017-01-01;;;;
ZH;39;Thalheim an der Thur;406;376;0;92.61083744;7.389162562;1;2017-01-01;;;;
ZH;40;Trüllikon;504;461;0;91.46825397;8.531746032;1;2017-01-01;;;;
ZH;41;Truttikon;195;177;0;90.76923077;9.230769231;1;2017-01-01;;;;
ZH;42;Unterstammheim;385;342;0;88.83116883;11.16883117;1;2017-01-01;;;;
